Customer Number,Sort Time(ns)
1,266200
2,277900
3,117500
4,285500
5,270800
6,298200
7,278300
8,271200
9,274300
10,259600
11,285300
12,272600
13,258300
14,263700
15,271800
16,273300
17,277500
18,267200
19,288100
20,275100
21,1263400
22,1169900
23,1161200
24,1029200
25,1126200
26,1108600
27,1097000
28,1067300
29,1080300
30,1079400
31,1141800
32,425100
33,1073000
34,1200700
35,774600
36,432200
37,1103200
38,1122200
39,1071800
40,416200
41,626700
42,888900
43,953200
44,1043800
45,1122400
46,959400
47,1001200
48,978900
49,897600
50,956500
51,989800
52,923200
53,955800
54,967400
55,953000
56,937900
57,696700
58,975300
59,965100
60,904800
61,820300
62,832700
63,839400
64,839800
65,869600
66,863600
67,866800
68,799400
69,910400
70,804300
71,363200
72,837700
73,826500
74,909600
75,816800
76,880500
77,865100
78,865300
79,896800
80,348800
81,836800
82,822300
83,831300
84,865400
85,838600
86,896500
87,838800
88,304700
89,762300
90,833200
91,894600
92,804200
93,812800
94,872100
95,808300
96,788100
97,839800
98,849600
99,885200
